id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B52691376316443,ve_tachira_panamericanp,Panamericanp,Municipio Panamericanp,VE-S,Táchira,tachira__panamericanp,37198,569,65.37,31686,34132,35490,41707,,,,,
92452058B64948290230997,ve_cojedes_pao_de_san_juan_bautista,Pao de San Juan Bautista,Municipio Pao de San Juan Bautista,VE-H,Cojedes,cojedes__pao de san juan bautista,25300,5089,4.97,16547,18520,19543,23083,,,,,
92452058B42383806432363,ve_portuguesa_papelon,Papelón,Municipio Papelón,VE-P,Portuguesa,portuguesa__papelon,19219,2203,8.72,16906,19596,21112,25095,,,,,
92452058B74472117393048,ve_miranda_paz_castillo,Paz Castillo,Municipio Paz Castillo,VE-M,Miranda,miranda__paz castillo,132876,408,325.67,116360,129215,134646,139273,61498,160.52,0.75,355.89,5787
92452058B28830683582357,ve_delta_amacuro_pedernales,Pedernales,Municipio Pedernales,VE-Y,Delta Amacuro,delta amacuro__pedernales,9163,3537,2.59,6268,7996,9236,18352,,,,,
92452058B9002130030249,ve_barinas_pedraza,Pedraza,Municipio Pedraza,VE-E,Barinas,barinas__pedraza,79815,6693,11.92,63854,76949,84303,104518,,,,,
92452058B33564894721572,ve_apure_pedro_camejo,Pedro Camejo,Municipio Pedro Camejo,VE-C,Apure,apure__pedro camejo,35931,20519,1.75,33082,41296,46169,60683,27689,5655.49,0.608,62.47,2256
92452058B80975086584779,ve_miranda_pedro_gual,Pedro Gual,Municipio Pedro Gual,VE-M,Miranda,miranda__pedro gual,27151,925,29.35,22293,24745,25777,26634,63885,242.01,0.752,376.92,5900
92452058B2929237041778,ve_anzoategui_pedro_maria_freites,Pedro María Freites,Municipio Pedro María Freites,VE-B,Anzoátegui,anzoategui__pedro maria freites,88795,7153,12.41,79432,86001,88986,87996,34898,1321.83,0.646,100.96,2893
92452058B18404635880934,ve_tachira_pedro_maria_urena,Pedro María Ureña,Municipio Pedro María Ureña,VE-S,Táchira,tachira__pedro maria urena,61930,184,336.57,52130,56509,58977,70322,,,,,
