id,external_id,name,nombre_oficial,parent_iso,parent_state,poblacion_2010,poblacion_2020,poblacion_2026,poblacion_2050,poblacion_2021,area_km2,densidad,capital,idh,pib_total_mm_usd,pib_per_capita_usd
92452058B3851867727254,ve_portuguesa_santa_rosalia,Santa Rosalía,Municipio Santa Rosalía,VE-P,Portuguesa,17721,20612,22254,26671,22669,1029,22.03,El Playón,,,
92452058B98840878188065,ve_aragua_santiago_marino,Santiago Mariño,Municipio Santiago Mariño,VE-D,Aragua,223088,245849,256519,285707,266945,497,537.11,Turmero,0.67,55.91,3403
92452058B16352791962773,ve_merida_santos_marquina,Santos Marquina,Municipio Santos Marquina,VE-L,Mérida,19406,23625,26045,31782,21638,192,112.69,Tabay,0.677,33.26,3579
92452058B40538109508806,ve_aragua_santos_michelena,Santos Michelena,Municipio Santos Michelena,VE-D,Aragua,40343,43445,44707,47110,45436,220,206.52,Las Tejerías,0.642,38.79,2827
92452058B21195677528356,ve_tachira_seboruco,Seboruco,Municipio Seboruco,VE-S,Táchira,10233,11084,11564,13773,13348,162,82.39,Seboruco,,,
92452058B7239791888120,ve_bolivar_sifontes,Sifontes,Municipio Sifontes,VE-F,Bolívar,57120,66406,71471,80517,57943,24393,2.37,Tumeremo,0.676,108.89,3534
92452058B11105078455090,ve_falcon_silva,Silva,Municipio Silva,VE-I,Falcón,37984,44440,48050,56446,39546,537,73.64,Tucacas,,,
92452058B90039962099382,ve_lara_simon_planas,Simón Planas,Municipio Simón Planas,VE-K,Lara,,,,,48535,808,60.06,Sarare,0.681,348.05,3667
92452058B50271348468988,ve_anzoategui_sir_arthur_mac_gregor,Sir Arthur Mac Gregor,Municipio Sir Arthur Mac Gregor,VE-B,Anzoátegui,9824,11973,13300,17468,12243,1115,10.98,El Chaparro,0.666,99.55,3325
92452058B73243248124437,ve_barinas_sosa,Sosa,Municipio Sosa,VE-E,Barinas,23304,27799,30271,36629,29822,3546,8.41,Ciudad de Nutrias,,,
92452058B70146576395550,ve_monagas_sotillo,Sotillo,Municipio Sotillo,VE-N,Monagas,23861,26791,28012,31114,31189,1061,29.39,Barrancas,,,
92452058B53950788580310,ve_cojedes_tinaco,Tinaco,Municipio Tinaco,VE-H,Cojedes,31747,38172,42049,58919,43336,1098,39.46,Tinaco,,,
92452058B57428725290546,ve_falcon_tocopero,Tocopero,Municipio Tocopero,VE-I,Falcón,5499,6354,6818,7778,8109,83,97.69,Tocópero,,,
92452058B65560769402967,ve_tachira_torbes,Torbes,Municipio Torbes,VE-S,Táchira,50427,54669,57060,68055,58322,110,530.2,San Josecito,,,
92452058B22596665360768,ve_lara_torres,Torres,Municipio Torres,VE-K,Lara,,,,,211806,6954,30.45,Carora,0.629,115.83,2586
92452058B29326197328098,ve_trujillo_trujillo,Trujillo,Municipio Trujillo,VE-T,Trujillo,59097,71362,78288,95437,70426,413,170.52,Trujillo,0.649,946.79,2971
92452058B80404447780707,ve_delta_amacuro_tucupita,Tucupita,Municipio Tucupita,VE-Y,Delta Amacuro,101794,128332,146806,275072,149845,10996,13.62,Tucupita,,,
92452058B99464633299903,ve_portuguesa_turen,Turén,Municipio Turén,VE-P,Portuguesa,66380,75898,81075,92881,76409,1324,57.71,Villa Bruzual,,,
92452058B21405103946028,ve_anzoategui_diego_bautista_urbanejo,Diego Bautista Urbanejo,Municipio Turístico Diego Bautista Urbaneja,VE-B,Anzoátegui,39260,47778,53020,69324,43907,12,3658.91,Lecherías,,,
92452058B14300572902451,ve_falcon_union,Unión,Municipio Unión,VE-I,Falcón,15698,18639,20334,24757,19638,975,20.14,Santa Cruz de Bucaral,,,
92452058B63771518802825,ve_yaracuy_urachiche,Urachiche,Municipio Urachiche,VE-U,Yaracuy,22276,26755,29335,36123,26674,170,156.9,Urachiche,,,
92452058B26508954861758,ve_monagas_uracoa,Uracoa,Municipio Uracoa,VE-N,Monagas,9273,10551,11115,12740,12269,2764,4.43,Uracoa,,,
92452058B24105899820975,ve_tachira_uribante,Uribante,Municipio Uribante,VE-S,Táchira,20098,21630,22479,26365,24888,1502,16.56,Pregonero,,,
92452058B99499694826809,ve_falcon_urumaco,Urumaco,Municipio Urumaco,VE-I,Falcón,8332,9517,10143,11257,10580,752,14.06,Urumaco,,,
92452058B13672560993609,ve_sucre_valdez,Valdez,Municipio Valdez,VE-R,Sucre,42251,49449,53647,67220,50862,598,85.05,Güiria,,,
92452058B422414995593,ve_carabobo_valencia,Valencia,Municipio Valencia,VE-G,Carabobo,852217,943844,984252,1081782,980277,623,1573.47,Valencia,0.817,8441.91,9097
92452058B50396237528900,ve_trujillo_valera,Valera,Municipio Valera,VE-T,Trujillo,151067,171854,181910,192259,176961,240,737.33,Valera,,,
92452058B93255664897858,ve_zulia_valmore_rodriguez,Valmore Rodríguez,Municipio Valmore Rodríguez,VE-V,Zulia,52014,59828,63919,75297,65840,1292,50.95,Bachaquero,0.772,2684.5,6727
92452058B35881959392947,ve_yaracuy_veroes,Veroes,Municipio Veroes,VE-U,Yaracuy,28163,32683,35103,39792,35365,1059,33.39,Farriar,,,
92452058B87556418523140,ve_nueva_esparta_villalba,Villalba,Municipio Villalba,VE-O,Nueva Esparta,,,,,11894,55,216.25,San Pedro de Coche,,,
92452058B83118913216781,ve_guarico_zaraza,Zaraza,Municipio Zaraza,VE-J,Guárico,63800,77190,84859,101366,75808,2410,31.45,Zaraza,,,
92452058B34699715340940,ve_merida_zea,Zea,Municipio Zea,VE-L,Mérida,11388,13572,14773,17124,14092,122,115.5,Zea,0.68,26.39,3650
92452058B66612082158993,ve_falcon_acosta,Acosta,Municipio Acosta,VE-I,Falcón,19076,22791,24955,30828,23323,757,30.8,San Juan de los Cayos,,,
92452058B59962143626105,ve_monagas_acosta,Acosta,Municipio Acosta,VE-N,Monagas,17518,19904,20960,23959,22335,609,36.67,San Antonio,,,
92452058B60175540924522,ve_tachira_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-S,Táchira,20434,21913,22724,26422,24160,98,246.53,Cordero,,,
92452058B19626943802375,ve_merida_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-L,Mérida,14456,17111,18550,21166,17294,398,43.45,La Azulita,0.673,80.33,3482
92452058B96669771674103,ve_trujillo_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-T,Trujillo,16970,20398,22316,26922,21800,202,107.92,Santa Isabel,,,
92452058B69461621653352,ve_miranda_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-M,Miranda,21322,23688,24690,25564,24526,114,215.14,San José de Barlovento,0.78,927.9,7070
92452058B83235361555221,ve_barinas_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-E,Barinas,15175,18037,19599,23509,19920,1493,13.34,El Cantón,,,
92452058B18977618770055,ve_sucre_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-R,Sucre,27539,31766,34164,41345,30981,721,42.96,Casanay,,,
92452058B34095123389968,ve_lara_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-K,Lara,,,,,56076,708,79.2,Sanare,0.685,1287.89,3755
92452058B15677212765732,ve_sucre_arismendi,Arismendi,Municipio Arismendi,VE-R,Sucre,48949,56756,61229,75022,54735,769,71.17,Río Caribe,,,
92452058B71215590710272,ve_nueva_esparta_arismendi,Arismendi,Municipio Arismendi,VE-O,Nueva Esparta,,,,,35986,52,692.03,La Asunción,,,
92452058B99527238900768,ve_barinas_arismendi,Arismendi,Municipio Arismendi,VE-E,Barinas,26147,31249,34066,41404,27544,7209,3.82,Arismendi,,,
92452058B10882972052933,ve_monagas_bolivar,Bolívar,Municipio Bolívar,VE-N,Monagas,37683,43448,46157,54652,47609,345,137.99,Caripito,,,
92452058B68095023694670,ve_aragua_bolivar,Bolívar,Municipio Bolívar,VE-D,Aragua,38430,42012,43623,47659,44733,58,771.25,San Mateo,0.668,566.1,3355
